2018-05-15 14:46:27.439  INFO 18144 --- [main] s.w.s.m.m.a.RequestMappingHandlerMapping : Mapped "{[/sys/department/getDepartmentAllData],methods=[GET]}" onto public java.lang.String com.thinvent.basicpf.sys.controller.DepartmentController.getDepartmentAllData() throws com.thinvent.library.exception.ThinventBaseException
2018-05-15 14:46:27.446  INFO 18144 --- [main] s.w.s.m.m.a.RequestMappingHandlerMapping : Mapped "{[/sys/department/getDeptTreeByUserId],methods=[GET]}" onto public java.lang.Object com.thinvent.basicpf.sys.controller.DepartmentController.getDeptTreeByUserId(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse) throws com.thinvent.library.exception.ThinventBaseException
2018-05-15 14:46:27.453  INFO 18144 --- [main] s.w.s.m.m.a.RequestMappingHandlerMapping : Mapped "{[/sys/enum/listEnumValues],methods=[GET]}" onto public java.util.List com.thinvent.basicpf.sys.controller.EnumController.get(java.lang.String) throws com.thinvent.library.exception.ThinventBaseException
2018-05-15 14:46:27.461  INFO 18144 --- [main] s.w.s.m.m.a.RequestMappingHandlerMapping : Mapped "{[/file/uploadFile],methods=[POST]}" onto public java.lang.String com.thinvent.basicpf.sys.controller.FileController.uploadFile(java.lang.String,org.springframework.web.multipart.MultipartFile) throws com.thinvent.library.exception.ThinventBaseException,java.io.IOException
2018-05-15 14:46:27.464  INFO 18144 --- [main] s.w.s.m.m.a.RequestMappingHandlerMapping : Mapped "{[/file/uploadFiles],methods=[POST]}" onto public java.lang.String com.thinvent.basicpf.sys.controller.FileController.uploadFiles(org.springframework.web.multipart.MultipartFile[]) throws com.thinvent.library.exception.ThinventBaseException,java.io.IOException
2018-05-15 14:46:27.466  INFO 18144 --- [main] s.w.s.m.m.a.RequestMappingHandlerMapping : Mapped "{[/file/deleteFiles],methods=[GET]}" onto public java.lang.String com.thinvent.basicpf.sys.controller.FileController.deleteFiles(java.lang.String) throws com.thinvent.library.exception.ThinventBaseException,java.io.IOException
2018-05-15 14:46:27.473  INFO 18144 --- [main] s.w.s.m.m.a.RequestMappingHandlerMapping : Mapped "{[/file/deleteFile],methods=[GET]}" onto public java.lang.String com.thinvent.basicpf.sys.controller.FileController.deleteFile(java.lang.String) throws com.thinvent.library.exception.ThinventBaseException,java.io.IOException
2018-05-15 14:46:27.478  INFO 18144 --- [main] s.w.s.m.m.a.RequestMappingHandlerMapping : Mapped "{[/file/upload],methods=[POST]}" onto public java.lang.String com.thinvent.basicpf.sys.controller.FileController.uploadImage(java.lang.String,org.springframework.web.multipart.MultipartFile) throws com.thinvent.library.exception.ThinventBaseException,java.io.IOException
2018-05-15 14:46:27.492  INFO 18144 --- [main] s.w.s.m.m.a.RequestMappingHandlerMapping : Mapped "{[/sys/log/saveLog],methods=[POST]}" onto public void com.thinvent.basicpf.sys.controller.LogController.save(com.thinvent.library.vo.LogVO) throws com.thinvent.library.exception.ThinventBaseException
2018-05-15 14:46:27.494  INFO 18144 --- [main] s.w.s.m.m.a.RequestMappingHandlerMapping : Mapped "{[/sys/log/listLogByParams],methods=[GET]}" onto public java.lang.Object com.thinvent.basicpf.sys.controller.LogController.listLogByParams(java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,int,int) throws com.thinvent.library.exception.ThinventBaseException,java.text.ParseException
2018-05-15 14:46:27.496  INFO 18144 --- [main] s.w.s.m.m.a.RequestMappingHandlerMapping : Mapped "{[/sys/menu/menuAll],methods=[GET]}" onto public java.lang.Object com.thinvent.basicpf.sys.controller.MenuController.menuAllApi() throws com.thinvent.library.exception.ThinventBaseException
2018-05-15 14:46:27.498  INFO 18144 --- [main] s.w.s.m.m.a.RequestMappingHandlerMapping : Mapped "{[/sys/menu/menuList],methods=[GET]}" onto public java.lang.Object com.thinvent.basicpf.sys.controller.MenuController.menuListApi(java.lang.String,int,int) throws com.thinvent.library.exception.ThinventBaseException
2018-05-15 14:46:27.506  INFO 18144 --- [main] s.w.s.m.m.a.RequestMappingHandlerMapping : Mapped "{[/sys/menu/menuDel],methods=[GET]}" onto public void com.thinvent.basicpf.sys.controller.MenuController.menuDelApi(java.lang.String) throws com.thinvent.library.exception.ThinventBaseException
2018-05-15 14:46:27.507  INFO 18144 --- [main] s.w.s.m.m.a.RequestMappingHandlerMapping : Mapped "{[/sys/menu/menuUpdate],methods=[POST]}" onto public java.util.Map<java.lang.String, java.lang.String> com.thinvent.basicpf.sys.controller.MenuController.menuUpdateApi(com.thinvent.library.vo.MoudleVO) throws com.thinvent.library.exception.ThinventBaseException
2018-05-15 14:46:27.513  INFO 18144 --- [main] s.w.s.m.m.a.RequestMappingHandlerMapping : Mapped "{[/sys/menu/menuAdd],methods=[POST]}" onto public java.util.Map<java.lang.String, java.lang.String> com.thinvent.basicpf.sys.controller.MenuController.menuAddApi(com.thinvent.library.vo.MoudleVO) throws com.thinvent.library.exception.ThinventBaseException
2018-05-15 14:46:27.514  INFO 18144 --- [main] s.w.s.m.m.a.RequestMappingHandlerMapping : Mapped "{[/sys/menu/menuOne],methods=[GET]}" onto public java.lang.String com.thinvent.basicpf.sys.controller.MenuController.menuOneApi(java.lang.String) throws com.thinvent.library.exception.ThinventBaseException
2018-05-15 14:46:27.519  INFO 18144 --- [main] s.w.s.m.m.a.RequestMappingHandlerMapping : Mapped "{[/sys/moudle/getMoudleTree],methods=[GET]}" onto public java.util.List<java.util.Map> com.thinvent.basicpf.sys.controller.MoudleController.getTreeAreasById(java.lang.String,javax.servlet.http.HttpServletRequest) throws com.thinvent.library.exception.ThinventBaseException
2018-05-15 14:46:27.522  INFO 18144 --- [main] s.w.s.m.m.a.RequestMappingHandlerMapping : Mapped "{[/sys/moudle/getMoudleTreeBySign],methods=[GET]}" onto public java.lang.Object com.thinvent.basicpf.sys.controller.MoudleController.getTreeBySign(java.lang.String,javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse) throws com.thinvent.library.exception.ThinventBaseException
2018-05-15 14:46:27.528  INFO 18144 --- [main] s.w.s.m.m.a.RequestMappingHandlerMapping : Mapped "{[/sys/moudle/getForbid],methods=[GET]}" onto public java.lang.String com.thinvent.basicpf.sys.controller.MoudleController.getForbidList(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse) throws com.thinvent.library.exception.ThinventBaseException
2018-05-15 14:46:27.530  INFO 18144 --- [main] s.w.s.m.m.a.RequestMappingHandlerMapping : Mapped "{[/sys/moudle/getMoudleByLevel],methods=[GET]}" onto public java.lang.Object com.thinvent.basicpf.sys.controller.MoudleController.getByLevel(java.lang.String,javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse) throws com.thinvent.library.exception.ThinventBaseException
2018-05-15 14:46:27.536  INFO 18144 --- [main] s.w.s.m.m.a.RequestMappingHandlerMapping : Mapped "{[/sys/position/addPosition],methods=[POST]}" onto public void com.thinvent.basicpf.sys.controller.PositionController.add(com.thinvent.library.vo.PositionVO) throws com.thinvent.library.exception.ThinventBaseException
2018-05-15 14:46:27.538  INFO 18144 --- [main] s.w.s.m.m.a.RequestMappingHandlerMapping : Mapped "{[/sys/position/getByPosId],methods=[GET]}" onto public com.thinvent.library.vo.PositionVO com.thinvent.basicpf.sys.controller.PositionController.get(java.lang.String) throws com.thinvent.library.exception.ThinventBaseException
2018-05-15 14:46:27.541  INFO 18144 --- [main] s.w.s.m.m.a.RequestMappingHandlerMapping : Mapped "{[/sys/position/updatePosition],methods=[POST]}" onto public void com.thinvent.basicpf.sys.controller.PositionController.update(com.thinvent.library.vo.PositionVO) throws com.thinvent.library.exception.ThinventBaseException
2018-05-15 14:46:27.545  INFO 18144 --- [main] s.w.s.m.m.a.RequestMappingHandlerMapping : Mapped "{[/sys/position/delPosition],methods=[GET]}" onto public void com.thinvent.basicpf.sys.controller.PositionController.delete(java.lang.String) throws com.thinvent.library.exception.ThinventBaseException
2018-05-15 14:46:27.549  INFO 18144 --- [main] s.w.s.m.m.a.RequestMappingHandlerMapping : Mapped "{[/sys/position/getPosList],methods=[GET]}" onto public java.lang.Object com.thinvent.basicpf.sys.controller.PositionController.list(java.lang.String,java.lang.String,java.lang.Integer,java.lang.Integer) throws com.thinvent.library.exception.ThinventBaseException
2018-05-15 14:46:27.552  INFO 18144 --- [main] s.w.s.m.m.a.RequestMappingHandlerMapping : Mapped "{[/sys/position/listAllPosition],methods=[GET]}" onto public java.util.List com.thinvent.basicpf.sys.controller.PositionController.listAllPositon() throws com.thinvent.library.exception.ThinventBaseException
2018-05-15 14:46:27.561  INFO 18144 --- [main] s.w.s.m.m.a.RequestMappingHandlerMapping : Mapped "{[/sys/role/addRole],methods=[POST]}" onto public void com.thinvent.basicpf.sys.controller.RoleController.add(com.thinvent.library.vo.RoleVO,javax.servlet.http.HttpServletRequest) throws com.thinvent.library.exception.ThinventBaseException
2018-05-15 14:46:27.563  INFO 18144 --- [main] s.w.s.m.m.a.RequestMappingHandlerMapping : Mapped "{[/sys/role/getByRoleId],methods=[GET]}" onto public java.lang.Object com.thinvent.basicpf.sys.controller.RoleController.get(java.lang.String) throws com.thinvent.library.exception.ThinventBaseException
2018-05-15 14:46:27.566  INFO 18144 --- [main] s.w.s.m.m.a.RequestMappingHandlerMapping : Mapped "{[/sys/role/updateRole],methods=[POST]}" onto public void com.thinvent.basicpf.sys.controller.RoleController.update(com.thinvent.library.vo.RoleVO,javax.servlet.http.HttpServletRequest) throws com.thinvent.library.exception.ThinventBaseException
2018-05-15 14:46:27.571  INFO 18144 --- [main] s.w.s.m.m.a.RequestMappingHandlerMapping : Mapped "{[/sys/role/deleteRole],methods=[GET]}" onto public void com.thinvent.basicpf.sys.controller.RoleController.delete(java.lang.String) throws com.thinvent.library.exception.ThinventBaseException
